[603],715
[103],9
[88],47
[211],16
[463228],148552
[17021238],62682311
[8408296],11990578
[32488307],157041640
[363284],850677
[134863],179616
[1072995],2031666
[4175393],6333736
[1677165],1931628
[10015870],12738520
[399],1224
[12055],13221
[29],33
[966],1224
[25012314],114182642
[5936668],4533382
[1676728],695701
[34387664],21454165
[25738750],13355828
[10037639],4450853
[3240031],794591
[5156861],4893440
[2022437],1381288
[8898651],8720023
[3927497],2873214
[24277411],56965403
[6188],7153
[52964],14102
[23576460],31339132
[50813],75440
[184],72
[108164],305691
[682562],1919495
[107020],150780
[475007],3243247
[268251],1043763
[12953834],512575801
[6477862],206778521
[17019073],625302823
[3096650],7796926
[240574],1831108
[423891],2936093
[2657157],16461908
[3645111],24675801
[19802754],132317651
[8671800],90649862
[19551442],151179813
[12096472],84217062
[103013],333474
[123341],307213
[355151],658557
[536136],8275169
[472233],5060606
[6083509],1352809555
[2728],191935
[12276617],9537310863
[4780891],492943940
[854922],32355583
[1840100],81495003
[1635317],51282842
[14274],19006
[1120455],26718423
[801195],15813608
[20861],1067496
[11584],268172
[2140613],258385218
