[48],838
[288188],297013
[79579993],31427248
[146],12
[462482],733244
[300],515
[834479],1141529
[3701534],4344670
[6714642],7987245
[340979],381253
[145],46
[4089661],3311512
[1494104],1038381
[2052088],2706674
[4977],3495
[1082956],1274246
[18762439],7451973
[2501868],2990419
[170377],267611
[2293],3303
[15],8
[1563009],1312009
[80841120],33316050
[9955012],4416021
[449086],1215398
[13302],11017
[15062098],14570665
[36],325
[32],143
[633108],789644
[1868743],1214571
[155338],136323
[20943663],14469750
[765888],1011676
[909039],714822
[2361686],3056412
[3959],5629
[858197],956615
[7],2
[391099],435786
[2700845],2929788
[7197415],11216419
[3144553],2235039
[111052],96573
[884425],1152615
[5717219],4172273
[816849],709850
[24840],15207
[71606],42883
[3304002],2889401
[10849],12001
[547273],549622
[26032],22900
[26],33
[126398],175118
[433681],222131
[17635998],7657830
[1803641],2192596
[9987342],14887750
[39],39
[649429],712963
[153],12
[20340610],23501220
[49927],12691
[135063],131642
[181214],96943
[46699],52890
[1375499],2310810
[29],42
[131761],81344
[2042567],2370751
[48242],56946
[2477149],3671545
[582242],741932
[984802],662416
[3014],213
[14329571],39982151
[194],398
[1967162],4198516
[664000],744542
[34],2
[6239728],6646317
[760513],843688
[44526],49402
[49],2
[47],1
[3336654],4072192
[19423335],47016857
[19345],20114
[907356],1042283
[56],59
[9873],20754
[945482],1029245
[1756031],2016503
[16],8
[386],483
[57071205],22363041
[1603399],1892838
[67],561
[18625235],28177721
[1493124],6081642
[8082],7261
[9442719],5995389
[84],19
[63007485],24382536
[20995997],33128308
[10],2
[2411125],2314071
[17546291],20032173
[4944261],6694220
[1233784],1556102
[10831428],11429999
[11627],12698
[1742274],1194165
[33235331],314536973
[41865436],81818979
[42],922
[202201],203113
[812169],624234
[7223581],2728943
[8263055],7567967
[162],149
[22134613],56848525
[25555939],29586445
[1220346],1879167
[5202173],5157644
[47],33
[39070740],177494679
[71],355
[50959],86532
[2501862],2990610
[738],77
[15045058],10169372
[3667273],2848793
[6339176],6639277
[471364],544532
[84425],120023
[1294741],1346178
[7329091],18332497
[52],156
[2531698],1997146
[408650],387979
[5410068],4479478
[30],45
[600014],744010
[135],42
[241988],258248
[12],210
[300303],393813
[17108199],17363671
[154328],85618
[23584002],28150437
[3066478],3932302
[1695595],1935005
[25868742],12761011
[10735143],10031889
[2077311],2697169
[9998344],9847312
[163498],106824
[3814517],2945450
[31074906],35390077
[4923898],5291581
[95906],74146
[21189882],22791697
[815374],459573
[1621],5674
[607207],2088756
[2366245],3246200
[625],12632
[40895],72446
[4007947],7813854
[10],14
[61245],27192
[12373],17561
[1446336],1543595
[486137],278473
[1025709],1345620
[122],1143
[28003165],8770496
[9783717],3985017
[71988],77964
[926931],1056939
[433367],740622
[32947],29660
[18],1
[21854981],12500073
[414927],413446
[3716099],3041298
[4413869],2599585
[104388],1520208
[51990701],133915414
[1893651],2218831
[1413269],1267919
[7058657],3476378
[283],429
[7965],13130
[44391],69236
[2552915],2575581
[7203],4694
[2671368],3433275
[50626290],146979016
[125429],116706
[229910],269383
[6567129],4361932
[2741784],3376865
[731156],795055
[13050],22432
[33746650],11957367
[240817],129336
[983284],479803
[214150],258870
[457691],488154
[60371],101317
[5049],33759
[591267],313480
[22443213],27712580
[1087012],1674159
[870175],1420415
[23474868],19778058
[10303],21316
[4004141],3674270
[280797],409629
[34746],32576
[75144],69434
[197350],420042
[316],773
[26],778
[810],429
[214],314
[29436225],58986126
[30577808],12670688
[869337],1303666
[5981],10318
[92209],49936
[518714],450441
[1155],155
[7104225],3411365
[2002217],1357579
[1706308],2771514
[419551],336309
[8793715],9949305
[372221],610917
[349535],369694
[343493],442387
[39130],32529
[431566],288926
[5014314],4494302
[378179],442278
[5393530],9057189
[83485],87344
[609290],659386
[44931],21499
[20575213],19953519
[11003],16640
[378231],378799
[81013],81160
[75807809],35495160
[170628],458296
[966522],680091
[354508],433169
[153],982
[113840],131640
[262728],378876
[2586],1602
[2990],8594
[223306],194499
[5845703],3347285
[4205],6128
[23504053],17454365
[21886706],26663241
[2115763],917195
[14352181],6771894
[232275],322839
[2853],1930
[28638307],23998365
[8050],20356
[3662],3928
[3675383],8155239
[1464672],757992
[283594],255300
[45],35
[2074665],3402734
[4536162],3199424
[124049],148117
[173],1650
[3034225],4568446
[60],93
[452890],499840
[1789091],2388210
[58533124],163571133
[218789],390941
[39],132
[916646],1082138
[543117],517333
[37],397
[17],5
[42707254],83791280
[1065114],1660869
[818317],1076953
[50],297
[25],1
[3489081],1748180
[13],87
[37],12
[919532],1237707
[357666],328221
[5],2
[1305553],1765741
[2079817],2504778
[10105428],10453544
[11],17
[980197],857942
[2003468],2726265
[4389637],7324555
[10234],9842
[1363682],1248879
[15847514],17601365
[5073891],11160062
[120],38
[416093],582731
[14856986],41903582
[759418],1069051
[3098],777
[1823008],2137953
[5],5
[5148351],6701798
[3824453],2422668
[2751],2785
[33],152
[163],313
[10734607],25498396
[376363],458418
[1897401],2252536
[611247],665228
[111293],93082
[23314511],27217405
[2883778],4891061
[145344],97842
[1193725],1426839
[12351609],5093894
[7749909],6989602
[486685],554134
[1888050],1108456
[9],1
[11],26
[40187555],184062220
[29586],23119
[157515],169569
[3802201],1721700
[14],44
[2218042],1057866
[16003938],60055286
[7741],5042
[20],15
[22354715],28808107
[3045024],4715345
[421862],361427
[76],2340
[17259101],8269208
[539790],729031
[771839],1696420
[459714],499598
[21987646],31241811
[1443374],2418890
[669925],822645
[760],1163
[15088518],22788070
[22],23
[35268822],15356047
[59233294],117331447
[8910859],9233840
[397421],383352
[364073],408662
[2725284],1747317
[6782193],9536222
[5896858],6539903
[23021],83685
[1253098],1581674
[290397],364715
[15968090],8246266
[6241575],6569607
[584454],798359
[181],174
[83],42
[515025],1081773
[11841],22338
[3262739],6384033
[3508708],3529832
[1832860],2148400
[1504813],1149553
[204767],116285
[3328278],4209924
[688556],322988
[149348],135565
[630931],1012740
[237414],295368
[24427250],10808855
[317839],386906
[38157696],18038074
[4494],2438
[47],636
[20622065],25009887
[13687],21203
[1154536],1262230
[897628],1314151
[5424999],3557392
[30883079],38668961
[2396167],2230863
[1612946],1886579
[1283],1815
[10341612],3224306
[224100],313244
[20554],13961
[6],53
[8534520],20289593
[871770],1602477
[128],5
[29259870],10699647
[177],198
[2855609],3269126
[7001910],8958418
[3178886],2155279
[5459845],5282211
[16426638],28667223
[3357351],4178571
[1300],3377
[2074],84
[24],25
[315],809
[31],4
[43],4
[16],12
[75441],122281
[564014],555594
[3733348],6734607
[2033829],2388929
[47],216
[12977],27931
[197720],271772
[54838],111888
[2102235],1985670
[2820512],3182031
[48],1
[240],9
[357154],422368
[665368],542199
[11509858],12670688
[19],13
[1408849],1506232
[5596],10423
[190310],208438
[235177],184692
[143],143
[65961],92962
[3434080],4411556
[12266754],8862210
[1588],134
[786836],829552
[182959],133042
[173],96
[335998],236526
[12037691],11952549
[10699120],29054459
[197580],340690
[1127962],923627
[361037],260933
[1295574],1601485
[16644373],21334377
[2240695],2716578
[1146187],964327
[78],480
[622401],673287
[51902],18944
[68],115
[6886847],17895478
[2437195],2573351
[144128],242392
[765412],834635
[8690472],4213440
[655618],656031
[258406],425568
[181],292
[158],132
[6606436],10352430
[46],2796
[5],1
[83],81
[192756],245664
[892899],1072779
[374987],433035
[185426],391392
[6296157],4800657
[2122309],4008495
[39198],49435
[1817325],2680860
[772],279
[2976663],2319573
[1221540],1299763
[2021456],2339935
[298656],156255
[4],2
[11055085],16464942
[1101107],923233
[903204],594081
