[536731],283812
[1271697],1107925
[4995516],11306022
[1040440],459925
[65469227],44007524882
[3608119],281934531
[3091989],2476485
[5207619],2973114
[265565],1533909
[14441293],2609129
[875859],460185
[932959],9067075
[70579],119565
[2515307],994094709
[5967467],4523930
[41991311],9565151
[176326],183733
[42116865],20959155
[6851254],1380035
[5287964],2986860
[70400095],75018948820
[3390474],543367
[1265319],5030235
[33418715],57628813
[1810245],587070
[10800693],6802505908
[8766469],5405252
[246],16
[2063994],919850
[23506],10111
[2285280],960788
[2049620],1334883
[983093],876047
[1478231],23426182
[44268297],351514575
[41341700],14824459
[1193028],1274246
[297085],328857
[43],9
[367982],391125
[6189887],90750250
[3184727],16085115
[46425242],14835720
[111619],133181
[100889],139398
[1660636],1351608
[1456141],1485030
[4802758],521661092
[1808362],1102769
[1487565],717308
[237630],368218
[9294119],9098501
[14179967],13860668
[60033919],464212226736
[118914],85426
[536668],314907
[330616],297845
[48],1
[283269],278429
[23600580],311663737
[16946663],16816470
[980859],885729
[14431561],606627622
[428263],376129
[10565174],14802622
[1511793],13614904
[873517],854713
[6047817],6798769
[3240667],2547786
[10583379],32454121
[7569891],19659246
[3718596],1555864
[815],177
[27255951],14345735941
[12993833],194081501
[2825822],920110
[1284001],3642045
[9292395],1274246
[358446],91690
[159895],122028
[4217],90003
[6523921],218613694
[15545337],33302158
[3478941],1810007
[19712032],117477848
[11758060],7548855
[11806488],204544074
[1573024],459925
[29637877],1159221575
[11739648],3036719
[210075],1042011
[1340525],1093558
[102955],60340
[2239],72
[7636588],4829607980
[634482],520878
[10471491],5869026
[72818056],215765477
[8052559],8583388
[2483035],2478571
[29964565],7286865
[607],8966
[698719],1017032
[88358],539979
[77379407],165417463
[20951559],5057211125
[1093956],459925
[2551122],3633744
[505688],518327
[20227020],19545869
[67915],69264
[8447175],1511778564
[2560028],2233850
[355363],353075
[5567326],2718195
[3267207],19225208
[669746],2377927
[3629236],7346931
[4674477],16433081
[3798171],2156169
[642260],1084056
[117869],89863
[9305851],12670688
[1636451],459925
[23304],202649
[10061489],8966694
[84825],74468
[72],21
[3428609],3143191
[27225991],27301880
[29955],17266
[528664],372207
[375538],391036
[13454845],94864161
[3036741],18938693
[41546837],77646617468
[256517],186944
[1035804],1143082
[1275961],459925
[173],11
[39101],24692
[33826109],13794786
[54802],60892
[11673090],9565151
[1021386],1245336
[7933615],9711831379
[37708],1705009
[31354],20567
[2144],8910
[2932179],1360323800
[10827784],2059977
[4650158],2886675
[1622687],709105
[30311357],63092691
[93606],89132
[407],224
[24739000],5884963
[6735759],7549165
[12223586],130442932
[6245079],115283980
[6071167],1802370764
[98071],127537
[166018],145378
[45466436],108291310961
[1218849],36222852
[376336],440186
[30525028],29688397
[19783033],38082448
[10047621],6951968
[116],38
[41997253],60614648
[2068],84804
[22427234],3056510643
[1510],1613
[159020],363871
[6539935],107808154
[77975103],12318091961
[5279194],3927958
[14416829],140436498
[21583475],28808107
[3641221],44243491
[5709780],15358920
[15019089],11460602
[299],27378
[2242744],1526625
[28120108],9202049281
[52852],717716
[680480],747613
[70987456],121680445
[473160],396930
[2917569],885081741
[27],1
[298],28
[22517438],22605471
[1631],3461
[345904],340301
[121332],52749
[3469588],30764058
[1801735],1667568
[1353782],1334883
[13646698],56992293
[1177464],728512
[14622782],43289689
[534240],432142
[5464469],11847782
[71],24
[907269],687170
[11550204],16121683
[4688275],151500369
[452148],344882
[331726],221798
[3814513],3036719
[92935],299494
[2812087],2576640
[16569480],16159297
[17489617],28697712
[7703607],6930334
[34628],3212
[31012417],12670688
[10162],124927
[3830137],1288928
[6494705],954317
[226],1068
[18],6
[1871818],502001560
[1427731],931394
[1892987],1415641
[99],1768
[3121239],31857545
[5176359],3436506
[10746675],177680094
[155762],115854
[811874],109819837
[12359542],242786845
[3837],6578
[5841902],10068462
[708385],12033433
[12539489],200542501
[58729291],235420417
[25450],46899
[1790607],459925
[4643379],4200194
[69475679],36244344
[886],763
[6291368],4169130
[21609],25626
[4349385],1394915
[689],45071
[5098692],43343044
[155],735
[4506178],2678174
[1163747],1334883
[16643740],144474509
[8365736],8770614
[305],149
[961299],436710
[3012739],802140
[2169183],26591968
[147],2
[1552074],943298
[54],176
[997375],1226219
[2465106],829639
[22525],24879
[18480177],6901212690
[9602048],115968104
[3422870],9094502
[111],120
[4022565],10216806
[944],42
[8802586],48515468
[2785188],1644741
[2739670],182347075
[134],211
[36420054],782709780
[746696],813698
[491292],498621
[1317255],1401902
[6214],16571
[5],1
[363319],486554
[694871],410328
[21650145],27039480
[924547],5500892
[1569967],1866714
[17019538],236669097
[2304952],14848189
[2312352],785208
[5295892],2675867885
[4907703],7246866
[1503247],1835628
[2143],260
[7286637],23512458
[2024990],1298989
[1889564],1333985
[45771045],141280828
[768],41554
[8700283],1962041614
[459767],378799
[5910349],5637455
[4183607],2055671
[14022435],34863638
[142976],347649
[49],29
[1759476],1274246
[1866565],460185
[246910],259361
[1658594],10919218
[4826096],3957660
[725606],30826466
[5655337],2591194
[1227041],877826
[965],992
[469850],250045
[9035931],8786582
[127734],102118
[45],127
[6637157],6930334
[52293],140436
[164663],159774
[1776606],1749032
[196941],387833
[7],8
[22587638],41255053
[1058610],459925
[18590986],103184347
[6218220],21509570
[9144986],43462819
[30],13
[214],243
[8419240],3350499434
[424],1365
[2247274],2046723
[102346],33733
[3364664],687938
[162500],75723
[24465239],9631551
[141046],109567
[4830596],2404277796
[1078089],7924201
[359957],288892
[1332],260
[76154081],30511650
[174362],1117547
[619221],3363280
[81],1208
[4071946],1401902
[1409887],968944
[64404469],23573656
[1322],4898
[11459744],40701900
[25249591],43130516885
[172],48
[4759707],2255207
[13891],6815
[2615970],41263407
[1257456],7598041
[508125],4018376
[36621577],3440467108
[14830760],6191108266
[63866640],78673022863
[10267379],12670688
[264116],80581
[578185],1097116
[756569],580834
[19375313],9911754
[79925],49188
[2737381],39749609
[1613318],993826
[291],1423
[1048541],662825
[1044004],1065990
[28899430],35385517
[2496709],1331546
[2240245],3624977
[187151],2563380
[70870],144096
[3272502],6019495
[23822000],17797517
[43109],41224
[11730719],86419138
[10799088],7201953098
