[552],715
[283],9
[221],47
[368],16
[142406],148552
[19887154],62682311
[9573048],11990578
[36736753],157041640
[258993],850677
[169679],179616
[436001],2031666
[4796264],6333736
[2029881],1931628
[10439568],12738520
[696],1224
[7152],13221
[43],33
[1659],1224
[33307090],114182642
[2349201],4533382
[842550],695701
[11648176],21454165
[13253439],13355828
[5718823],4450853
[1119785],794591
[3982055],4893440
[1480752],1381288
[8096616],8720023
[3889119],2873214
[29602940],56965403
[3168],7153
[8719],14102
[10363904],31339132
[143947],75440
[300],72
[201389],305691
[523863],1919495
[247503],150780
[654531],3243247
[356384],1043763
[13184692],512575801
[7083358],206778521
[16978125],625302823
[2266665],7796926
[282537],1831108
[1179254],2936093
[6497547],16461908
[2231172],24675801
[11416104],132317651
[4878312],90649862
[38495500],151179813
[23313014],84217062
[41665],333474
[44858],307213
[90225],658557
[494298],8275169
[464344],5060606
[2217584],1352809555
[281],191935
[4872474],9537310863
[7229114],492943940
[1335477],32355583
[2762530],81495003
[2550600],51282842
[11885],19006
[805258],26718423
[657037],15813608
[3184],1067496
[2051],268172
[3034215],258385218
